,,,,,,,,,,,,,,,
no,group name,sun on,sun off,mon on,mon off,tue on,tue off,wed on,wed off,thu on,thu off,fri on,fri off,sat on,sat off
num:1,computer,24:01,24:02,24:00,24:01,24:00,24:01,24:01,24:01,24:00,24:01,24:00,24:01,24:00,24:01
num:2,projector,,,,,,,,,,,,,,
num:3,relay,,,,,,,,,,,,,,
num:4,computer 1,,,,,,,,,,,,,,
num:5,pc,,,,,,,,,,,,,,
num:6,projector,,,,,,,,,,,,,,
num:7,,,,,,,,,,,,,,,
num:8,,,,,,,,,,,,,,,
num:9,,,,,,,,,,,,,,,
num:10,,,,,,,,,,,,,,,
num:11,,,,,,,,,,,,,,,
num:12,,,,,,,,,,,,,,,
num:13,,,,,,,,,,,,,,,
num:14,,,,,,,,,,,,,,,
num:15,,,,,,,,,,,,,,,
num:16,,,,,,,,,,,,,,,
num:17,,,,,,,,,,,,,,,
num:18,,,,,,,,,,,,,,,
num:19,,,,,,,,,,,,,,,
num:20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
client number,client name,ip address,type,group number,info,state 0,state 1,state 2,state 3,,,,,,
dev:1,pc1,192.168.2.201,PC,num1:1,ibm pc 1,0,1,2,3,,,,,,
dev:2,prj1,192.168.2.202,PRJ,num1:2,VPL-PHZ10,0,1,2,3,,,,,,
dev:3,pc2,192.168.2.203,PC,num1:1,ibm pc 2,0,1,2,3,,,,,,
dev:4,prj2,192.168.2.204,PRJ,num1:2,vpl-phz10,0,1,2,3,,,,,,
dev:5,pc3,192.168.2.205,PC,num1:1,ibm pc 3,0,1,2,3,,,,,,
dev:6,prj3,192.168.2.206,PRJ,num1:2,vpl-PHz10,0,1,2,3,,,,,,
dev:7,pc4,192.168.2.207,PC,num1:1,ibm pc 4,0,1,2,3,,,,,,
dev:8,prj4,192.168.2.208,PC,num1:2,vpl-phz10,0,1,2,3,,,,,,
dev:9,pc5,192.168.2.209,PC,num1:1,ibm pc 5,0,1,2,3,,,,,,
dev:10,prj10,192.168.2.210,PRJ,num1:2,vpl-phz10,0,1,2,3,,,,,,
dev:11,relay 1,192.168.2.211,RELAY,num1:3,,0,1,2,3,,,,,,
dev:12,contact1,192.168.2.212,CONTACT,num1:4,,0,1,2,3,,,,,,
dev:13,relay2,192.168.2.213,RELAY,num1:3,,0,1,2,3,,,,,,
dev:14,contact 2,192.168.2.214,CONTACT,num1:4,,0,1,2,3,,,,,,
dev:15,relay3,192.168.2.215,RELAY,num1:3,,0,1,2,3,,,,,,
dev:16,contact3,192.168.2.216,CONTACT,num1:4,,0,1,2,3,,,,,,
dev:17,relay4,,RELAY,num1:3,,0,1,2,3,,,,,,
dev:18,contact4,,CONTACT,num1:4,,0,1,2,3,,,,,,
dev:19,relay5,,RELAY,num1:3,,0,1,2,3,,,,,,
dev:20,contact5,,CONTACT,num1:4,,0,1,2,3,,,,,,
dev:21,pc6,,PC,num1:5,,0,1,2,3,,,,,,
dev:22,prj6,,PRJ,num1:6,,0,1,2,3,,,,,,
dev:23,pc7,192.168.2.223,PC,num1:5,,0,1,2,3,,,,,,
dev:24,prj7,192.168.2.224,PRJ,num1:6,,0,1,2,3,,,,,,
dev:25,pc8,192.168.2.225,PC,num1:5,,0,1,2,3,,,,,,
dev:26,prj8,192.168.2.226,PRJ,num1:6,,0,1,2,3,,,,,,
dev:27,pc9,192.168.2.227,PC,num1:5,,0,1,2,3,,,,,,
dev:28,prj9,,PRJ,num1:6,,0,1,2,3,,,,,,
dev:29,pc10,192.168.2.229,PC,num1:5,,0,1,2,3,,,,,,
dev:30,prj10,192.168.2.230,PRJ,num1:6,,0,1,2,3,,,,,,
dev:31,,,,,,0,1,2,3,,,,,,
dev:32,,,,,,0,1,2,3,,,,,,
dev:33,,,,,,0,1,2,3,,,,,,
dev:34,,,,,,0,1,2,3,,,,,,
dev:35,,,,,,0,1,2,3,,,,,,
dev:36,,,,,,0,1,2,3,,,,,,
dev:37,,,,,,0,1,2,3,,,,,,
dev:38,,,,,,0,1,2,3,,,,,,
dev:39,,,,,,0,1,2,3,,,,,,
dev:40,,,,,,0,1,2,3,,,,,,
dev:41,,,,,,0,1,2,3,,,,,,
dev:42,,,,,,0,1,2,3,,,,,,
dev:43,,,,,,0,1,2,3,,,,,,
dev:44,,,,,,0,1,2,3,,,,,,
dev:45,,,,,,0,1,2,3,,,,,,
dev:46,,,,,,0,1,2,3,,,,,,
dev:47,,,,,,0,1,2,3,,,,,,
dev:48,,,,,,0,1,2,3,,,,,,
dev:49,,,,,,0,1,2,3,,,,,,
dev:50,,,,,,0,1,2,3,,,,,,
